class_name,relation,value,modifier
Tomb Robber,Skills,Concealment Rural,
Tomb Robber,Skills,Concealment Urban,
Tomb Robber,Skills,Silent Move Rural,
Tomb Robber,Skills,Silent Move Urban,
Tomb Robber,Skills,Spot Trap,
Tomb Robber,Skills,Secret Signs - Thieves',75
Tomb Robber,Skills,Secret Language - Thieves',50
Tomb Robber,Skills,Tongue,
Tomb Robber,Skills,Evaluate,50
Tomb Robber,Career Exits,Bodyguard,
Tomb Robber,Career Exits,Fence,
Tomb Robber,Career Exits,Rat Catcher,
Tomb Robber,Career Exits,Tunnel Fighter,
Trader,Skills,Evaluate,
Trader,Skills,Haggle,
Trader,Skills,Numismatics,
Trader,Skills,Blather,25
Trader,Skills,Law,25
Trader,Career Exits,Fence,
Trader,Career Exits,Merchant,
Trader,Career Exits,Thief:Clipper,
